"GC9X6MX","Letterbox Hybrid","","","F","","Den Zeme","1,21","NE","BrankoL","21/04/2023","20/03/2024","25/09/2023","Regular","2,5","1,5","25/09/2023","","","20/03/2024"
"GC9745F","Traditional Cache","","","F","","7 básniček na zrcadlo - Vášeň","1,25","NW","lenicka8788","05/03/2021","20/03/2024","06/09/2022","Micro","1,5","2,0","06/09/2022","","","20/03/2024"
"GCAJ3MV","Traditional Cache","","","F","","AnOther RO(c)K - #017","1,38","N","_Dragonkeeper_","17/01/2024","20/03/2024","17/01/2024","Other","2,0","2,0","17/01/2024","","","20/03/2024"
"GC9HDZK","Multicache","","","F","","Yellow TB Hotel *****","1,49","NW","BrankoL","04/09/2022","20/03/2024","06/09/2022","Large","1,5","3,0","06/09/2022","","","20/03/2024"
"GCAHYQ4","Traditional Cache","","","F","","AnOther RO(c)K - #012","1,57","NE","_Dragonkeeper_","12/01/2024","20/03/2024","17/01/2024","Other","1,5","1,5","17/01/2024","","","20/03/2024"
"GCAM7C3","Event Cache","","","F","","3,14 day","1,64","E","Labuťka81","14/03/2024","20/03/2024","14/03/2024","Other","1,0","1,5","14/03/2024","","","20/03/2024"
"GC9DBPG","Traditional Cache","","","F","","ROK #144 - Európsky deň národných parkov","1,69","N","_LIGHTYEAR_","24/05/2022","20/03/2024","30/10/2022","Micro","2,5","1,5","30/10/2022","","","20/03/2024"
"GCAHYQ5","Traditional Cache","","","F","","AnOther RO(c)K - #007","1,73","NE","_Dragonkeeper_","07/01/2024","20/03/2024","07/01/2024","Other","1,5","1,5","07/01/2024","","","20/03/2024"
"GCA4KA4","Event Cache","","","F","","BRATISLAVSKÉ HRY 2023 - KALČETO","1,82","E","Tomi_Veve +Veve11","27/02/2023","20/03/2024","27/02/2023","Other","1,0","1,0","27/02/2023","","","20/03/2024"
"GC8TJJM","Unknown Cache","","","F","","Sad Janka Kráľa - LAB Bonus","1,82","N","branio","02/07/2020","20/03/2024","17/01/2024","Micro","2,0","2,0","17/01/2024","","","20/03/2024"
"GC704WK","Traditional Cache","","","F","","Bratislavske rozky","1,87","N","_miko_","28/02/2017","20/03/2024","16/11/2022","Other","1,5","1,5","16/11/2022","","","20/03/2024"
"GC8Y6ZQ","Multicache","","","F","","Zastávky Viedenskej električky","1,89","N","patresz93 & pa3cek81","12/08/2020","20/03/2024","02/04/2023","Regular","1,5","1,5","02/04/2023","","","20/03/2024"
"GCA2030","Traditional Cache","","","F","","Divadlo Aréna / Aréna theater","1,93","NE","branio","07/01/2024","20/03/2024","07/01/2024","Micro","2,0","2,0","07/01/2024","","","20/03/2024"
"GC9DBWH","Unknown Cache","","","F","","ROK #201 - Medzinárodný deň šachu","1,96","N","_LIGHTYEAR_","20/07/2022","20/03/2024","17/01/2024","Other","3,0","1,0","17/01/2024","","","20/03/2024"
"GC890FF","Virtual Cache","","","F","","Bunker - Vojenský cintorín","2,09","SW","RozMETAL","24/12/2021","20/03/2024","16/11/2022","Virtual","1,5","1,5","16/11/2022","","","20/03/2024"
"GCA8VCQ","Unknown Cache","","","F","","BUNKER B-S 8 HŘBITOV","2,16","SW","Veve11","19/05/2023","20/03/2024","13/10/2023","Small","2,0","1,5","13/10/2023","","","20/03/2024"
"GCAEX4K","Event Cache","","","F","","Meet a Finn","2,18","N","Bow more","19/10/2023","20/03/2024","19/10/2023","Other","1,0","1,0","19/10/2023","","","20/03/2024"
"GC32EM9","Traditional Cache","","","F","","Stretneme sa pod mostom/We'll meet under the bridg","2,19","N","kepafici","18/08/2011","20/03/2024","15/11/2019","Small","2,0","1,0","15/11/2019","","","20/03/2024"
"GC9DC3M","Traditional Cache","","","F","","ROK #303 - Christopher Columbus","2,21","N","_LIGHTYEAR_","30/10/2022","20/03/2024","31/10/2022","Micro","2,0","2,0","31/10/2022","","","20/03/2024"
"GC619ZK","Earthcache","","","F","","Dunaj na Slovensku / Danube in Slovakia","2,24","N","lafin","14/09/2015","20/03/2024","08/10/2023","Other","2,5","1,5","08/10/2023","","","20/03/2024"
"GC1DRNX","Traditional Cache","","","F","","Zuckermandel","2,30","N","Salvelinus1","23/07/2008","20/03/2024","17/01/2024","Small","1,0","1,5","17/01/2024","","","20/03/2024"
"GC7B7BT","Virtual Cache","","","F","","H.CH.Andersen in Bratislava - Virtual Reward","2,33","N","mates333","08/08/2018","20/03/2024","03/06/2022","Virtual","1,0","1,0","03/06/2022","","","20/03/2024"
"GCABQ83","Traditional Cache","","","F","","SNG - Slovak National Gallery","2,34","N","cdrw","22/07/2023","20/03/2024","17/08/2023","Other","2,5","1,5","17/08/2023","","","20/03/2024"
"GC9DBXD","Traditional Cache","","","F","","ROK #215 - Elisha Grave Otis","2,34","N","_LIGHTYEAR_","03/08/2022","20/03/2024","17/01/2024","Micro","2,5","1,0","17/01/2024","","","20/03/2024"
"GCGWZ4","Traditional Cache","","","F","","Hradna vyhliadka (View from castle)","2,35","N","Igi - moved by Aktakgreen, rebuilt by Dejan","14/09/2003","20/03/2024","04/11/2022","Small","1,5","1,5","04/11/2022","","","20/03/2024"
"GC3QBQ8","Multicache","","","F","","Europske muzea / European museums","2,36","N","FRUlTIK","12/07/2012","20/03/2024","13/10/2023","Other","2,5","1,5","13/10/2023","","","20/03/2024"
"GC88Z8T","Virtual Cache","","","F","","Stratená synagóga   Lost synagogue","2,37","N","branio","21/12/2021","20/03/2024","03/06/2022","Virtual","1,5","1,5","03/06/2022","","","20/03/2024"
