GC-code;Cache name;Type;Size;Difficulty;Terrain;Latitude;Longitude;Elevation (m);Last publish date;Region;County;Archived;Locked;Disabled;Premium;Finds;FP;FP%;FPW;Placed by;Owner;Found
GC22DF;HRADISKO;Traditional Cache;Regular;2.0;1.5;N 49° 06.428;E 020° 14.838;764;2001-09-01;Prešovský kraj;Poprad;0;0;0;0;582;42;15.6716;11.808042;MILAN VDOVJAK A JOZEF MIKO;Igi;
GC8102;Sleeping Knight;Traditional Cache;Regular;3.0;3.5;N 49° 12.578;E 020° 56.018;676;2002-08-17;Prešovský kraj;Sabinov;0;0;0;0;342;44;27.3292;21.033803;Hudec & Tina;Hudec;1.0
GCGCN9;Niva;Traditional Cache;Large;2.5;1.5;N 49° 04.092;E 020° 21.238;685;2002-06-28;Prešovský kraj;Poprad;0;0;0;0;272;5;3.9683;1.706686;RadioTEL Team;radiotel;
GCGCNE;Sunset;Traditional Cache;Large;2.0;3.5;N 49° 00.560;E 020° 18.958;872;2002-09-14;Prešovský kraj;Poprad;0;0;0;0;156;3;4.7619;1.632587;RadioTEL Team;radiotel;
GCH07D;Castle of Szepes (GCSZEP);Traditional Cache;Small;2.0;2.0;N 48° 59.881;E 020° 46.021;560;2003-10-03;Košický kraj;Spišská Nová Ves;0;0;0;0;2796;98;9.8592;8.157529;klo, adopted by Strombus;Strombus;
GCH3Y4;HSZ-Kapusiansky hrad/castle ;Traditional Cache;Small;2.0;2.5;N 49° 03.300;E 021° 19.230;492;2003-08-26;Prešovský kraj;Prešov;0;0;0;0;645;17;7.0833;4.469156;servo2;servo2;
GCH70W;GCSILI-Silica (Szilice) Ice cave;Traditional Cache;Regular;2.0;3.0;N 48° 33.024;E 020° 30.279;500;2003-11-10;Košický kraj;Rožňava;0;0;0;0;680;14;5.2632;3.16068;klo, adopted by Strombus;Strombus;
GCH760;Oltar Kamen ;Traditional Cache;Regular;1.5;2.0;N 49° 09.774;E 021° 08.748;1048;2003-11-09;Prešovský kraj;Sabinov;0;0;0;0;336;6;4.4444;2.052583;Igi;Igi;
GCJBXZ;Drevenik;Traditional Cache;Regular;3.0;3.0;N 48° 59.197;E 020° 46.549;587;2004-05-01;Košický kraj;Spišská Nová Ves;0;0;0;0;754;63;21.5753;17.24254;Igi and family;Igi;
GCJWWM;Kave;Multi-cache;Regular;2.0;2.0;N 48° 45.720;E 021° 14.200;447;2004-07-04;Košický kraj;Košice I;0;0;0;0;476;5;3.0675;1.3172;Glip;climberko;
GCJZVW;Smreciny;Traditional Cache;Regular;2.5;3.5;N 48° 57.391;E 020° 03.338;1328;2004-06-13;Prešovský kraj;Poprad;0;0;0;0;110;6;15.3846;7.247374;RadioTEL Team & Durec;radiotel;
GCK9PH;Trepec;Traditional Cache;Regular;2.0;2.0;N 49° 02.561;E 021° 41.677;171;2004-08-15;Prešovský kraj;Vranov nad Topľou;0;0;0;0;203;4;8.5106;3.359358;cicva-od2018, Igi-2004-2018;cicva;
GCKEA8;GEOHRA 2004_EAST;Traditional Cache;Large;2.0;3.0;N 49° 04.167;E 022° 32.431;838;2004-09-01;Prešovský kraj;Snina;0;0;0;0;530;20;9.434;6.190107;XB3 adopted by Garmin;XB3;
GCKHFF;Stratena;Multi-cache;Regular;2.5;3.0;N 48° 52.275;E 020° 20.419;800;2004-09-12;Košický kraj;Rožňava;0;0;0;0;196;7;6.7961;3.330732;RadioTEL Team;radiotel;
GCKJQ3;THE BAT;Traditional Cache;Small;3.5;3.0;N 48° 54.513;E 021° 27.275;737;2004-09-17;Prešovský kraj;Prešov;0;0;0;0;200;37;48.6842;37.783539;"Johny;), adopt from Hudec and HARY team";"Johny;)";
GCKK9A;Dedina duchov (Village Of Ghosts);Multi-cache;Regular;2.0;2.0;N 49° 03.786;E 020° 46.218;780;2004-09-19;Prešovský kraj;Levoča;0;0;0;0;69;10;40.0;23.403058;RadioTEL Team;radiotel;
GCKKVC;Rankovske skaly;Traditional Cache;Small;2.0;3.0;N 48° 49.522;E 021° 29.655;777;2004-09-18;Košický kraj;Košice - okolie;0;0;0;0;187;19;27.1429;18.119461;dusan99;dusan99;1.0
GCKRD3;Betliar;Traditional Cache;Small;1.5;1.5;N 48° 42.730;E 020° 30.695;393;2004-10-09;Košický kraj;Rožňava;0;0;0;0;1357;11;2.6764;1.50089;kukinko;kukinko;1.0
GCKRD6;Mokre nohy (Wet Legs);Unknown Cache;Other;3.0;3.0;N 49° 10.065;E 020° 16.704;862;2006-06-10;Prešovský kraj;Poprad;0;0;0;0;1120;183;27.1111;23.894057;qwerty-sk;qwerty-sk;1.0
GCKYQ0;Gejzir;Multi-cache;Regular;3.0;1.5;N 48° 48.060;E 021° 28.641;375;2004-10-30;Košický kraj;Košice - okolie;0;0;0;0;234;20;19.802;13.200401;dusan99;dusan99;
GCNB22;Tornauara (Turniansky hrad);Multi-cache;Regular;3.0;3.0;N 48° 36.411;E 020° 52.315;204;2005-04-02;Košický kraj;Košice - okolie;0;0;0;0;369;15;8.2873;5.086314;utsm;utsm;1.0
GCNCNP;Satanta;Traditional Cache;Small;2.5;4.0;N 48° 53.630;E 021° 06.985;660;2005-04-02;Košický kraj;Košice - okolie;0;0;0;0;101;4;9.0909;3.592161;Hudec;Hudec;
GCNDCW;Cerveny breh / Red Bank;Unknown Cache;Regular;1.0;2.0;N 48° 44.168;E 021° 14.389;225;2005-04-09;Košický kraj;Košice I;0;0;0;0;262;7;7.3684;3.614851;bikerkiri;bikerkiri;1.0
GCNEG5;Crocus;Traditional Cache;Regular;3.0;3.0;N 49° 07.173;E 020° 46.645;920;2005-04-09;Prešovský kraj;Sabinov;0;0;0;0;32;2;14.2857;4.009307;Hudec;Hudec;
GCNQN2;Zlaty potok;Traditional Cache;Regular;2.0;2.0;N 48° 49.083;E 021° 06.262;504;2005-05-01;Košický kraj;Košice - okolie;0;0;0;0;92;0;0.0;0.0;tomco_sk;tomco_sk;
GCNQNW;Falcon;Traditional Cache;Regular;3.0;3.5;N 48° 49.617;E 021° 10.018;648;2005-05-01;Košický kraj;Košice - okolie;0;0;0;0;158;12;21.4286;12.70578;Hudec;Hudec;
GCP0DB;Spa Bardejov;Multi-cache;Small;2.0;1.0;N 49° 19.638;E 021° 16.454;318;2005-05-21;Prešovský kraj;Bardejov;0;0;1;0;477;7;3.125;1.521817;bikerkiri;bikerkiri;
GCPE44;Simone;Multi-cache;Regular;1.5;3.0;N 48° 56.374;E 021° 27.997;983;2005-06-24;Prešovský kraj;Prešov;0;0;0;0;266;26;21.4876;15.106666;dusan99;dusan99;
GCPGGX;HSZ-Hanigovsky hrad/castle;Traditional Cache;Small;2.0;3.0;N 49° 11.409;E 021° 02.346;763;2005-06-29;Prešovský kraj;Sabinov;0;0;0;0;104;4;8.6957;3.433531;servo2;servo2;
GCPRD4;Tatra hiking;Multi-cache;Regular;2.5;4.5;N 49° 10.622;E 020° 10.057;1976;2004-08-28;Prešovský kraj;Poprad;0;0;1;0;291;45;25.5682;19.692865;VP.hu;VP.hu;
GCPVR1;Sugov;Traditional Cache;Small;2.0;2.0;N 48° 40.518;E 020° 52.526;418;2005-07-24;Košický kraj;Košice - okolie;0;0;0;0;175;1;1.5152;0.267957;bikerkiri;bikerkiri;
