"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
33026,GC8102,"Sleeping Knight","Traditional Cache",Regular,3.0,3.5,"N 49° 12.578","E 020° 56.018",,,676,2002-08-17,2002-08-17,Slovakia,"Prešovský kraj",Sabinov,0,0,0,0,2023-08-28,,342,127,44,27.329200,21.033803,"Hudec & Tina",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Hudec,1,,,,,
41096,GCA088,"Squirrel´s Treasure",Multi-cache,Small,2.0,1.5,"N 48° 10.673","E 016° 18.568",,,237,2002-10-26,2002-10-26,Austria,Wien,Wien,0,0,0,0,2024-03-19,,2564,127,128,8.279400,7.006977,at5ric,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,at5ric,1,,,,,
41679,GCA2CF,"Spooky Pot",Multi-cache,Small,2.0,1.5,"N 48° 11.045","E 016° 24.169",,,176,2002-10-31,2002-10-31,Austria,Wien,Wien,0,0,0,0,2024-03-10,,1089,127,144,19.834700,17.096139,"Heinz & Mooni",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,bagsj,1,,,,,
92417,GCGWZ4,"Hradna vyhliadka (View from castle)","Traditional Cache",Small,1.5,1.5,"N 48° 08.468","E 017° 06.126",,,174,2003-09-14,2003-09-14,Slovakia,"Bratislavský kraj","Bratislava I",0,0,0,0,2024-03-19,,9093,127,500,11.584800,10.663953,"Igi - moved by Aktakgreen, rebuilt by Dejan",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Igi,1,,,,,
100303,GCH55G,"Lainzer Tiergarten I","Traditional Cache",Small,1.5,2.0,"N 48° 10.319","E 016° 14.625",,,309,2003-10-30,2003-10-30,Austria,Wien,Wien,0,0,0,0,2024-03-10,,1959,127,8,0.875300,0.444164,PlanetEarth,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,PlanetEarth,1,,,,,
159518,GCK4RN,"Helencina studanka","Traditional Cache",Small,1.5,2.0,"N 49° 13.153","E 016° 27.437",,,443,2004-07-31,2004-07-31,Czechia,"Jihomoravský kraj",Brno-město,0,0,0,0,2024-03-16,,4043,127,90,5.936700,4.854781,"Jedla, adopted by niximor",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,niximor,1,,,,,
163685,GCK943,"Cerna Hora","Traditional Cache",Small,2.0,2.0,"N 50° 39.295","E 015° 45.018",,,1240,2004-08-14,2004-08-14,Czechia,"Královéhradecký kraj",Trutnov,0,0,0,0,2024-03-14,,5459,63,27,1.643300,1.131824,Milancer,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Milancer,1,,,,,
166263,GCKBT8,"Predjama Castle","Traditional Cache",Small,1.5,1.5,"N 45° 48.837","E 014° 07.716",,,504,2004-08-20,2004-08-20,Slovenia,Primorsko-notranjska,Postojna,0,0,0,0,2024-03-19,,3358,127,131,6.975500,5.909054,"NiSEM (adopted from Giosa Team)",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,NiSEM,1,,,,,
173986,GCKKVC,"Rankovske skaly","Traditional Cache",Small,2.0,3.0,"N 48° 49.522","E 021° 29.655",,,777,2004-09-18,2004-09-18,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-12-30,,187,121,19,27.142900,18.119461,dusan99,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,dusan99,1,,,,,
178379,GCKRD3,Betliar,"Traditional Cache",Small,1.5,1.5,"N 48° 42.730","E 020° 30.695",,,393,2004-10-09,2004-10-09,Slovakia,"Košický kraj",Rožňava,0,0,0,0,2024-02-25,,1357,127,11,2.676400,1.500890,kukinko,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,kukinko,1,,,,,
178382,GCKRD6,"Mokre nohy (Wet Legs)","Unknown Cache",Other,3.0,3.0,"N 49° 10.065","E 020° 16.704","N 49° 10.219","E 020° 17.566",862,2001-07-06,2006-06-10,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-21,,1120,127,183,27.111100,23.894057,qwerty-sk,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,qwerty-sk,1,,,,,
200454,GCMGC6,"An ambiguous report about the end of the world","Traditional Cache",Regular,1.5,2.0,"N 48° 58.277","E 019° 34.634",,,1133,2005-01-14,2005-01-14,Slovakia,"Žilinský kraj","Liptovský Mikuláš",0,0,0,0,2024-03-21,,3626,127,51,4.533300,3.464642,"Glip adopted by SureThing II.",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,SureThing_II,1,,,,,
225126,GCNB22,"Tornauara (Turniansky hrad)",Multi-cache,Regular,3.0,3.0,"N 48° 36.411","E 020° 52.315",,,204,2005-04-02,2005-04-02,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-02-25,,369,127,15,8.287300,5.086314,utsm,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,utsm,1,,,,,
226213,GCNC64,"Döblinger Steg","Traditional Cache",Micro,1.5,1.0,"N 48° 14.392","E 016° 21.806",,,159,2005-04-06,2005-04-06,Austria,Wien,Wien,0,0,0,1,2024-03-19,,1290,127,46,5.367600,4.048044,Termite2712,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Termite2712,1,,,,,
227383,GCNDCW,"Cerveny breh / Red Bank","Unknown Cache",Regular,1.0,2.0,"N 48° 44.168","E 021° 14.389",,,225,2005-04-09,2005-04-09,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-17,,262,127,7,7.368400,3.614851,bikerkiri,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,bikerkiri,1,,,,,
228472,GCNEH0,"Risova studanka","Traditional Cache",Small,1.0,1.5,"N 49° 14.017","E 016° 28.048",,,399,2005-04-10,2005-04-10,Czechia,"Jihomoravský kraj",Brno-město,0,0,0,0,2024-03-17,,3927,127,19,1.298700,0.832973,"Jedla, adopted by niximor",tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,niximor,1,,,,,
