"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
62811,GCF55B,"The Rock called ""Kancel""","Traditional Cache",Regular,2.0,3.5,"N 49° 01.439","E 019° 39.789",,,736,2003-04-06,2003-04-06,Slovakia,"Žilinský kraj","Liptovský Mikuláš",0,0,0,0,2024-02-24,,574,127,5,3.105600,1.333651,"Matos, his wife Janka, her brother Jan",tsk88,"2024-03-22 13:47:26",,,Matos,,,,,,
131102,GCJ671,"machova elektraren","Traditional Cache",Small,1.0,2.0,"N 49° 16.548","E 019° 40.982",,,859,2004-04-10,2004-04-10,Slovakia,"Žilinský kraj",Tvrdošín,0,0,0,0,2024-03-19,,771,127,3,1.136400,0.387198,mamut,tsk88,"2024-03-22 13:47:26",,,mamut,,,,,,
138944,GCJEC0,"Dragon teeth - Dracie zuby",Multi-cache,Regular,1.5,3.5,"N 49° 08.819","E 019° 18.320",,,839,2003-10-14,2003-10-14,Slovakia,"Žilinský kraj",Ružomberok,0,0,0,0,2023-06-03,,83,126,22,53.658500,38.746215,"Aladdin_sk, adopted by osnica",tsk88,"2024-03-22 13:47:26",,,osnica,,,,,,
152520,GCJXFY,"Malino, ty brdo!","Traditional Cache",Regular,2.0,3.5,"N 49° 03.130","E 019° 16.160",,,985,2004-07-04,2004-07-04,Slovakia,"Žilinský kraj",Ružomberok,0,0,0,0,2024-02-25,,561,127,29,15.675700,11.141560,"binkáči - originally listed by Culex42",tsk88,"2024-03-22 13:47:26",,,binkáči,,,,,,
155806,GCK0XY,"Kralova Hola","Traditional Cache",Regular,1.5,3.5,"N 48° 53.004","E 020° 08.233",,,1934,2004-07-18,2004-07-18,Slovakia,"Banskobystrický kraj",Brezno,0,0,0,0,2023-10-16,,1018,127,57,15.745900,12.355857,"RadioTEL Team",tsk88,"2024-03-22 13:48:22",,,radiotel,,,,,,
157490,GCK2N8,Baran,"Traditional Cache",Regular,1.5,3.5,"N 49° 13.394","E 019° 00.677",,,1256,2004-07-24,2004-07-24,Slovakia,"Žilinský kraj",Žilina,0,0,0,0,2023-10-26,,422,127,22,15.942000,10.769814,jardap,tsk88,"2024-03-22 13:47:26",,,jarda_SK,,,,,,
160207,GCK5FX,Dryopteris,"Traditional Cache",Regular,2.0,2.0,"N 49° 11.868","E 018° 45.467",,,409,2004-07-31,2004-07-31,Slovakia,"Žilinský kraj",Žilina,0,0,0,1,2024-02-29,,1149,127,7,2.280100,1.108777,bazowski,tsk88,"2024-03-22 13:47:26",,,Bazowski,,,,,,
164032,GCK9F9,Provokatér/Decoy,"Traditional Cache",Small,2.5,3.0,"N 49° 09.766","E 019° 10.085",,,1117,2004-08-15,2004-08-15,Slovakia,"Žilinský kraj",Ružomberok,0,0,0,0,2023-10-15,,345,75,24,18.897600,13.040790,jarda_SK,tsk88,"2024-03-22 13:47:26",,,jarda_SK,,,,,,
164535,GCKA0G,"Gothic gate","Traditional Cache",Regular,2.0,3.0,"N 49° 10.256","E 018° 34.799",,,552,2004-08-03,2004-08-03,Slovakia,"Žilinský kraj",Bytča,0,0,0,0,2024-03-03,,1736,127,112,20.363600,17.209035,Chuligan,tsk88,"2024-03-22 13:47:26",,,Chuligan,,,,,,
164789,GCKA8P,Rijeka,"Traditional Cache",Regular,2.0,3.0,"N 49° 09.136","E 019° 06.186",,,557,2004-06-09,2004-08-18,Slovakia,"Žilinský kraj","Dolný Kubín",0,0,0,0,2024-03-03,,441,127,28,19.444400,13.809457,29Februar,tsk88,"2024-03-22 13:47:26",,,29Februar,,,,,,
166521,GCKC2J,Meander,"Traditional Cache",Small,1.5,3.0,"N 49° 10.699","E 018° 53.647",,,528,2004-08-04,2004-08-04,Slovakia,"Žilinský kraj",Žilina,0,0,0,0,2024-02-02,,1333,127,56,13.592200,10.617519,Chuligan,tsk88,"2024-03-22 13:47:26",,,Chuligan,,,,,,
168688,GCKEAF,"GEOHRA 2004_NORTH","Traditional Cache",Regular,2.0,3.0,"N 49° 34.812","E 019° 25.451",,,916,2004-09-01,2004-09-01,Slovakia,"Žilinský kraj",Námestovo,0,0,0,1,2024-03-07,,108,127,13,25.000000,15.233012,"XB3 adopted by Garmin",tsk88,"2024-03-22 13:47:26",,,XB3,,,,,,
178179,GCKR6M,"Dracia skala/The Dragons rock","Traditional Cache",Regular,2.0,3.0,"N 49° 10.509","E 018° 51.750",,,434,2004-10-08,2004-10-08,Slovakia,"Žilinský kraj",Žilina,0,0,0,0,2024-01-07,,1756,127,116,18.709700,15.835950,jarda_SK,tsk88,"2024-03-22 13:47:26",,,jarda_SK,,,,,,
200454,GCMGC6,"An ambiguous report about the end of the world","Traditional Cache",Regular,1.5,2.0,"N 48° 58.277","E 019° 34.634",,,1133,2005-01-14,2005-01-14,Slovakia,"Žilinský kraj","Liptovský Mikuláš",0,0,0,0,2024-03-21,,3626,127,51,4.533300,3.464642,"Glip adopted by SureThing II.",tsk88,"2024-03-22 13:47:26",,,SureThing_II,1,,,,,
224200,GCNA36,"Sa Kreker","Traditional Cache",Regular,2.0,3.5,"N 49° 05.288","E 019° 01.000",,,487,2005-02-01,2005-03-31,Slovakia,"Žilinský kraj",Martin,0,0,0,0,2024-02-23,,506,127,5,3.333300,1.432022,29Februar,tsk88,"2024-03-22 13:47:26",,,29Februar,,,,,,
233508,GCNKRE,"Budzogán/ The Club","Traditional Cache",Small,1.5,3.0,"N 49° 07.670","E 018° 37.198",,,718,2005-04-23,2005-04-23,Slovakia,"Žilinský kraj",Bytča,0,0,0,0,2024-03-17,,584,127,41,21.925100,16.593022,jarda_SK,tsk88,"2024-03-22 13:47:26",,,jarda_SK,,,,,,
253796,GCP9WX,Magurka,"Traditional Cache",Regular,1.5,1.5,"N 48° 56.562","E 019° 26.106",,,1085,2005-06-05,2005-06-05,Slovakia,"Žilinský kraj","Liptovský Mikuláš",0,0,0,0,2023-11-05,,395,57,10,8.403400,4.628431,"ottomatej, cache adopted by zdeno!",tsk88,"2024-03-22 13:47:26",,,zdeno!,,,,,,
256363,GCPCHP,"Cierny vrch","Traditional Cache",Regular,3.0,4.0,"N 49° 14.196","E 019° 12.085",,,766,2005-06-20,2005-06-20,Slovakia,"Žilinský kraj","Dolný Kubín",0,0,0,0,2020-04-16,,49,127,3,21.428600,7.571248,Vlk,tsk88,"2024-03-22 13:47:26",,,vlk_sk,,,,,,
257252,GCPDFC,Kopa,"Traditional Cache",Regular,2.0,3.5,"N 49° 08.755","E 019° 05.906",,,605,2005-06-22,2005-06-22,Slovakia,"Žilinský kraj",Martin,0,0,0,0,2023-10-30,,67,127,13,39.393900,24.682882,"Vlk (ad. TibX)",tsk88,"2024-03-22 13:47:26",,,TibX,,,,,,
261445,GCPHVM,Boboty,"Traditional Cache",Small,2.0,4.0,"N 49° 14.591","E 019° 03.382",,,1072,2005-07-02,2005-07-02,Slovakia,"Žilinský kraj",Žilina,0,0,0,0,2023-10-03,,525,127,17,10.493800,6.655561,"jarda_SK & majka",tsk88,"2024-03-22 13:47:26",,,jarda_SK,,,,,,
261664,GCPJ2P,"Raven Rock","Traditional Cache",Regular,3.0,2.0,"N 48° 28.354","E 018° 50.632",,,732,2005-07-03,2005-07-03,Slovakia,"Banskobystrický kraj",Žarnovica,0,0,0,0,2023-10-01,,129,127,4,10.000000,3.957889,Kvargla,tsk88,"2024-03-22 13:48:22",,,Rozela,,,,,,
263390,GCPKWC,Stavica,Multi-cache,Regular,3.5,2.5,"N 48° 25.012","E 019° 49.507",,,242,2005-07-05,2005-07-05,Slovakia,"Banskobystrický kraj",Poltár,0,0,1,0,2023-10-07,,96,127,2,4.347800,1.200519,"runawax adopted from Silvia&Juraj",tsk88,"2024-03-22 13:48:22",,,runawax,,,,,,
266288,GCPPWW,"Kláštor v Hronskom Beňadiku","Traditional Cache",Small,1.5,1.5,"N 48° 20.719","E 018° 33.437",,,210,2005-07-12,2005-07-12,Slovakia,"Banskobystrický kraj",Žarnovica,0,0,0,0,2024-03-05,,1109,127,18,4.761900,3.033040,"Danddy adopted from G&C_hu",tsk88,"2024-03-22 13:48:22",,,Danddy,,,,,,
271019,GCPWTF,"Marmot cache","Traditional Cache",Small,3.0,4.0,"N 48° 56.186","E 019° 38.386",,,2030,2005-07-23,2005-07-23,Slovakia,"Banskobystrický kraj",Brezno,0,0,0,0,2024-03-02,,2193,95,166,21.200500,18.481731,"Rikitan and Lucka",tsk88,"2024-03-22 13:48:22",,,Rikitan,,,,,,
273560,GCPZEE,"Stiavnica na dlani :: Stiavnica on the Hand","Traditional Cache",Regular,2.0,3.0,"N 48° 27.861","E 018° 52.829",,,904,2005-08-01,2005-08-04,Slovakia,"Banskobystrický kraj","Banská Štiavnica",0,0,0,0,2024-03-01,,584,127,31,15.656600,11.254472,skapo,tsk88,"2024-03-22 13:48:22",,,skapo,,,,,,
