"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
8927,GC22DF,HRADISKO,"Traditional Cache",Regular,2.0,1.5,"N 49° 06.428","E 020° 14.838",,,764,2001-09-01,2001-09-01,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-15,,582,127,42,15.671600,11.808042,"MILAN VDOVJAK A JOZEF MIKO",tsk88,"2024-03-22 13:45:06",,,Igi,,,,,,
33026,GC8102,"Sleeping Knight","Traditional Cache",Regular,3.0,3.5,"N 49° 12.578","E 020° 56.018",,,676,2002-08-17,2002-08-17,Slovakia,"Prešovský kraj",Sabinov,0,0,0,0,2023-08-28,,342,127,44,27.329200,21.033803,"Hudec & Tina",tsk88,"2024-03-22 13:45:06",,,Hudec,1,,,,,
77728,GCGCN9,Niva,"Traditional Cache",Large,2.5,1.5,"N 49° 04.092","E 020° 21.238",,,685,2002-06-28,2002-06-28,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2023-10-20,,272,127,5,3.968300,1.706686,"RadioTEL Team",tsk88,"2024-03-22 13:45:06",,,radiotel,,,,,,
77733,GCGCNE,Sunset,"Traditional Cache",Large,2.0,3.5,"N 49° 00.560","E 020° 18.958",,,872,2002-09-14,2002-09-14,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2023-10-07,,156,127,3,4.761900,1.632587,"RadioTEL Team",tsk88,"2024-03-22 13:45:06",,,radiotel,,,,,,
95557,GCH07D,"Castle of Szepes (GCSZEP)","Traditional Cache",Small,2.0,2.0,"N 48° 59.881","E 020° 46.021",,,560,2003-10-03,2003-10-03,Slovakia,"Košický kraj","Spišská Nová Ves",0,0,0,0,2024-03-13,,2796,127,98,9.859200,8.157529,"klo, adopted by Strombus",tsk88,"2024-03-22 13:43:58",,,Strombus,,,,,,
99113,GCH3Y4,"HSZ-Kapusiansky hrad/castle ","Traditional Cache",Small,2.0,2.5,"N 49° 03.300","E 021° 19.230",,,492,2003-08-26,2003-08-26,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-02-28,,645,127,17,7.083300,4.469156,servo2,tsk88,"2024-03-22 13:45:06",,,servo2,,,,,,
102081,GCH70W,"GCSILI-Silica (Szilice) Ice cave","Traditional Cache",Regular,2.0,3.0,"N 48° 33.024","E 020° 30.279",,,500,2003-11-10,2003-11-10,Slovakia,"Košický kraj",Rožňava,0,0,0,0,2024-02-27,,680,127,14,5.263200,3.160680,"klo, adopted by Strombus",tsk88,"2024-03-22 13:43:58",,,Strombus,,,,,,
102240,GCH760,"Oltar Kamen ","Traditional Cache",Regular,1.5,2.0,"N 49° 09.774","E 021° 08.748",,,1048,2003-11-09,2003-11-09,Slovakia,"Prešovský kraj",Sabinov,0,0,0,0,2023-10-28,,336,127,6,4.444400,2.052583,Igi,tsk88,"2024-03-22 13:45:06",,,Igi,,,,,,
136587,GCJBXZ,Drevenik,"Traditional Cache",Regular,3.0,3.0,"N 48° 59.197","E 020° 46.549",,,587,2004-05-01,2004-05-01,Slovakia,"Košický kraj","Spišská Nová Ves",0,0,0,0,2024-01-06,,754,62,63,21.575300,17.242540,"Igi and family",tsk88,"2024-03-22 13:43:58",,,Igi,,,,,,
151922,GCJWWM,Kave,Multi-cache,Regular,2.0,2.0,"N 48° 45.720","E 021° 14.200",,,447,2004-07-04,2004-07-04,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-01-05,,476,127,5,3.067500,1.317200,Glip,tsk88,"2024-03-22 13:43:42",,,climberko,,,,,,
154781,GCJZVW,Smreciny,"Traditional Cache",Regular,2.5,3.5,"N 48° 57.391","E 020° 03.338",,,1328,2004-06-13,2004-06-13,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2022-08-18,,110,127,6,15.384600,7.247374,"RadioTEL Team & Durec",tsk88,"2024-03-22 13:45:06",,,radiotel,,,,,,
164257,GCK9PH,Trepec,"Traditional Cache",Regular,2.0,2.0,"N 49° 02.561","E 021° 41.677",,,171,2004-08-15,2004-08-15,Slovakia,"Prešovský kraj","Vranov nad Topľou",0,0,0,0,2023-09-02,,203,127,4,8.510600,3.359358,"cicva-od2018, Igi-2004-2018",tsk88,"2024-03-22 13:45:06",,,cicva,,,,,,
168681,GCKEA8,"GEOHRA 2004_EAST","Traditional Cache",Large,2.0,3.0,"N 49° 04.167","E 022° 32.431",,,838,2004-09-01,2004-09-01,Slovakia,"Prešovský kraj",Snina,0,0,0,0,2023-09-12,,530,127,20,9.434000,6.190107,"XB3 adopted by Garmin",tsk88,"2024-03-22 13:45:06",,,XB3,,,,,,
171726,GCKHFF,Stratena,Multi-cache,Regular,2.5,3.0,"N 48° 52.275","E 020° 20.419",,,800,2004-09-12,2004-09-12,Slovakia,"Košický kraj",Rožňava,0,0,0,0,2024-03-16,,196,127,7,6.796100,3.330732,"RadioTEL Team",tsk88,"2024-03-22 13:43:58",,,radiotel,,,,,,
172923,GCKJQ3,"THE BAT","Traditional Cache",Small,3.5,3.0,"N 48° 54.513","E 021° 27.275",,,737,2004-09-17,2004-09-17,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-03-20,,200,125,37,48.684200,37.783539,"Johny;), adopt from Hudec and HARY team",tsk88,"2024-03-22 13:45:06",,,Johny;),,,,,,
173457,GCKK9A,"Dedina duchov (Village Of Ghosts)",Multi-cache,Regular,2.0,2.0,"N 49° 03.786","E 020° 46.218",,,780,2004-09-19,2004-09-19,Slovakia,"Prešovský kraj",Levoča,0,0,0,0,2023-01-01,,69,127,10,40.000000,23.403058,"RadioTEL Team",tsk88,"2024-03-22 13:45:06",,,radiotel,,,,,,
173986,GCKKVC,"Rankovske skaly","Traditional Cache",Small,2.0,3.0,"N 48° 49.522","E 021° 29.655",,,777,2004-09-18,2004-09-18,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-12-30,,187,121,19,27.142900,18.119461,dusan99,tsk88,"2024-03-22 13:43:42",,,dusan99,1,,,,,
178379,GCKRD3,Betliar,"Traditional Cache",Small,1.5,1.5,"N 48° 42.730","E 020° 30.695",,,393,2004-10-09,2004-10-09,Slovakia,"Košický kraj",Rožňava,0,0,0,0,2024-02-25,,1357,127,11,2.676400,1.500890,kukinko,tsk88,"2024-03-22 13:43:58",,,kukinko,1,,,,,
178382,GCKRD6,"Mokre nohy (Wet Legs)","Unknown Cache",Other,3.0,3.0,"N 49° 10.065","E 020° 16.704","N 49° 10.219","E 020° 17.566",862,2001-07-06,2006-06-10,Slovakia,"Prešovský kraj",Poprad,0,0,0,0,2024-03-21,,1120,127,183,27.111100,23.894057,qwerty-sk,tsk88,"2024-03-22 13:45:06",,,qwerty-sk,1,,,,,
183491,GCKYQ0,Gejzir,Multi-cache,Regular,3.0,1.5,"N 48° 48.060","E 021° 28.641",,,375,2004-10-30,2004-10-30,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-01-17,,234,127,20,19.802000,13.200401,dusan99,tsk88,"2024-03-22 13:43:42",,,dusan99,,,,,,
225126,GCNB22,"Tornauara (Turniansky hrad)",Multi-cache,Regular,3.0,3.0,"N 48° 36.411","E 020° 52.315",,,204,2005-04-02,2005-04-02,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-02-25,,369,127,15,8.287300,5.086314,utsm,tsk88,"2024-03-22 13:43:42",,,utsm,1,,,,,
226696,GCNCNP,Satanta,"Traditional Cache",Small,2.5,4.0,"N 48° 53.630","E 021° 06.985",,,660,2005-04-02,2005-04-02,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-05-07,,101,127,4,9.090900,3.592161,Hudec,tsk88,"2024-03-22 13:43:42",,,Hudec,,,,,,
227383,GCNDCW,"Cerveny breh / Red Bank","Unknown Cache",Regular,1.0,2.0,"N 48° 44.168","E 021° 14.389",,,225,2005-04-09,2005-04-09,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-17,,262,127,7,7.368400,3.614851,bikerkiri,tsk88,"2024-03-22 13:43:42",,,bikerkiri,1,,,,,
228446,GCNEG5,Crocus,"Traditional Cache",Regular,3.0,3.0,"N 49° 07.173","E 020° 46.645",,,920,2005-04-09,2005-04-09,Slovakia,"Prešovský kraj",Sabinov,0,0,0,0,2021-08-21,,32,127,2,14.285700,4.009307,Hudec,tsk88,"2024-03-22 13:45:06",,,Hudec,,,,,,
237247,GCNQN2,"Zlaty potok","Traditional Cache",Regular,2.0,2.0,"N 48° 49.083","E 021° 06.262",,,504,2005-05-01,2005-05-01,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-02-17,,92,127,0,0.000000,0.000000,tomco_sk,tsk88,"2024-03-22 13:43:42",,,tomco_sk,,,,,,
